Name,Orig Name,IPDB ID,Manufacturer,Date Manufactured,Players,Type,Theme
AC/DC (Pro),AC/DC (Pro),5767,"Stern Pinball, Incorporated",2012,4,SS,Licensed Theme - Music
AC/DC Back In Black (Limited Edition),AC/DC Back In Black (Limited Edition),5777,"Stern Pinball, Incorporated","March, 2012",4,SS,Licensed Theme - Music
Acapulco,Acapulco,3,Bally Manufacturing Corporation,,1,EM,Beach - Boating - Happiness - Recreation - Swimming - Water - Women
Acapulco,Acapulco,5864,Splin S.A.,,1,SS,
Ace,Ace,4896,Unknown Manufacturer,,1,ME,
Ace,Ace,4,Ace Manufacturing Company,"April, 1932",1,ME,
Ace,Ace,5,Bally Manufacturing Corporation,"August, 1935",1,EM,
Ace High,Ace High,6,Pierce Tool and Manufacturing Company,"April, 1932",1,ME,Card Game
Ace High,Ace High,7,D. Gottlieb & Company,"February, 1957",1,EM,Cards/Gambling
Ace High,Ace High,3765,D. Gottlieb & Company,"July, 1954",1,EM,
Ace High,Ace High,5235,Premier Technology,,4,SS,Playing Cards
Ace Is High,Ace Is High,8,"Hercules Novelty Company, Incorporated","June, 1931",1,ME,Cards/Gambling
Aces & Kings,Aces & Kings,11,"Williams Electronics, Incorporated",8-Jun-70,4,EM,Cards/Gambling
Aces High,Aces High,9,Bally Manufacturing Corporation,"August, 1965",4,EM,Gambling - Poker - Riverboat
Aces High,Aces High,3990,Unknown Manufacturer,1932,1,,
Aces Top,Aces Top,5236,Bally Manufacturing Corporation,"August, 1965",4,EM,Gambling - Poker - Riverboat
Acey Ducy,Acey Ducy,2877,Auto Bell Novelty Company,"May, 1960",2,ME,Playing Cards
Across the Board,Across the Board,12,Rock-ola Manufacturing Corporation,"January, 1938",1,EM,
Across the Board,Across the Board,13,"Universal Industries, Inc. (Chicago) A subsidiary of United Manufacturing Co.","December, 1951",1,EM,Sports - Horse Racing
Action,Action,15,Chicago Coin Machine Manufacturing Company,15-Sep-69,1,EM,Sports - Auto Racing
Action,Action,3839,Unknown Manufacturer,"April, 1943",1,EM,
Action (Jr),Action (Jr),17,Bally Manufacturing Corporation,"December, 1934",1,EM,
Action (Sr),Action (Sr),16,Automatic Amusements Company,"November, 1934",1,EM,
Action (Sr),Action (Sr),18,Bally Manufacturing Corporation,"December, 1934",1,EM,
Action Baseball,Action Baseball,14,"Williams Electronics, Incorporated","March, 1971",2,EM,Sports - Baseball
Add-A-Ball,Add-A-Ball,4362,Williams Electronic Manufacturing Company,"September, 1961",1,EM,Circus/Carnival
Admiral,Admiral,22,Genco Manufacturing Company,"February, 1933",1,ME,
Advance,Advance,2879,Automatic Amusements Company,"October, 1933",1,ME,
Advance Alley Roll,Advance Alley Roll,5644,Genco Manufacturing Company,,1,EM,
Advance Baby,Advance Baby,4824,Advance Automatic Machine Company,1932,1,ME,
Advance Pool,Advance Pool,5752,Chicago Coin Machine Manufacturing Company,,2,EM,Billiards
Advance Roll,Advance Roll,2880,Genco Manufacturing Company,30-Dec-46,1,EM,
Adventure,Adventure,5544,"Sega Enterprises, Ltd.","January, 1979",2,SS,Adventure - Boats - Recreation - Sailing - Water
Adventures of Rocky and Bullwinkle and Friends,Adventures of Rocky and Bullwinkle and Friends,23,"Data East Pinball, Incorporated",1-Feb-93,4,SS,Cartoon
Aerobatics,Aerobatics,24,Zaccaria,"February, 1977",1,EM,
Aerosmith (Limited Edition),Aerosmith (Limited Edition),6372,"Stern Pinball, Incorporated","March, 2017",4,SS,Licensed Theme - Music ñ Singing
Aerosmith (Premium),Aerosmith (Premium),6371,"Stern Pinball, Incorporated","April, 2017",4,SS,Licensed Theme - Music ñ Singing
Aerosmith (Pro),Aerosmith (Pro),6370,"Stern Pinball, Incorporated","February, 2017",4,SS,Licensed Theme - Music ñ Singing
Af-Tor,Af-Tor,25,Wico Corporation,"December, 1984",4,SS,
Africa Queen,Africa Queen,5114,Europlay,,1,EM,Fantasy
Agate Game,Agate Game,5349,Dewey Coin Machine Company,,1,ME,
Agents 777,Agents 777,26,"Game Plan, Incorporated","November, 1984",4,SS,Cartoon - Crime
Air Aces,Air Aces,28,Bally Manufacturing Corporation,"February, 1975",4,EM,Adventure - Aviation - Combat - Military - Warfare
Air Circus,Air Circus,29,Exhibit Supply Company,"January, 1942",1,EM,Army - Aircraft - Aviation - Navy - Warfare
Air Command,Air Command,4662,,,,,
Air Derby,Air Derby,2881,Western Equipment & Supply Company,"June, 1937",1,EM,Aircraft - Airplanes - Airports - Aviation - Flying
Air Force,Air Force,2882,Bally Manufacturing Corporation,1941,1,EM,Aviation - Combat - Military - Historical - Wartime - Warfare - World War II
Air Lane,Air Lane,30,Bally Manufacturing Corporation,"June, 1936",1,EM,Aircraft - Airplanes - Airports - Aviation - Flying
Air Races,Air Races,31,Atlas Indicator Works Incorporated,"October, 1932",1,ME,Aviation
Air Races,Air Races,32,Stoner Manufacturing Company,"April, 1937",1,EM,Wartime
Air Raid,Air Raid,4929,Unknown Manufacturer,,1,EM,Combat - Military - Warfare
Air Raid Defense,Air Raid Defense,4886,Gotham Pressed Steel Corporation,,1,ME,Warfare
Airborne,Airborne,5133,J. Esteban,,4,EM,Aviation
Airborne,Airborne,3783,"Capcom Coin-Op, Incorporated","March, 1996",4,SS,Aviation
Airborne Avenger,Airborne Avenger,33,"Atari, Incorporated","September, 1977",4,SS,Adventure - Combat
Airliner,Airliner,34,Exhibit Supply Company,"August, 1939",1,EM,
Airport,Airport,35,D. Gottlieb & Company,"April, 1969",2,EM,Travel
Airport,Airport,36,Genco Manufacturing Company,"May, 1939",1,EM,Aircraft - Airplanes - Airports - Aviation - Flying
Airway,Airway,37,Bally Manufacturing Corporation,"February, 1933",1,ME,Aviation
Airway of 1937,Airway of 1937,38,Bally Manufacturing Corporation,"August, 1937",1,EM,Aviation
Airways,Airways,4775,Lindstrom Tool and Toy Company,1934,1,ME,
Ak-Sar-Ben,Ak-Sar-Ben,39,Western Equipment & Supply Company,"November, 1937",1,EM,Sports - Horse Racing
Al Capone,Al Capone,5176,LTD do Brasil Diversıes EletrÙnicas Ltda,,4,SS,American History - Cards/Gambling
Al's Garage Band Goes On a World Tour,Al's Garage Band Goes On a World Tour,3513,Alvin G. and Company,"December, 1992",4,SS,Music - Singing
Alabama Crimson Tide,Alabama Crimson Tide,4998,,2004,4,EM,Sports - Football
