Name,AltName,Manufacturer,ManufacturerShort,Year,Players,Type,Theme,IPDBID
"All-American Automatic Base Ball Game","","Amusement Machine Corporation of America, Ltd.","Amusement Machine Corporation of America, Ltd.","1929","1","EM","Sports - Baseball","6107"
"All-American Quarterback","","Williams Manufacturing Company","Williams","1949","1","EM","Sports - Football","1886"
"All-American Twin","","Dallas Novelty Sales Company Incorporated","Dallas Novelty Sales Company Incorporated","1932","2","ME","","3919"
"All-Star Basketball","","D. Gottlieb & Company","Gottlieb","1952","1","EM","Sports - Basketball","54"
"All-Star Basketball Game","","Gotham Pressed Steel Corporation","Gotham Pressed Steel Corporation","1947","1","ME","Sports - Basketball","5690"
"All-Star Basketball Game (with bell)","","Gotham Pressed Steel Corporation","Gotham Pressed Steel Corporation","1947","1","ME","Sports - Basketball","4703"
"Alligator","","Bally Manufacturing Corporation","Bally","1969","4","EM","Adventure - Alligators - Water","59"
"Aloha","","D. Gottlieb & Company","Gottlieb","1961","2","EM","Hawaii","62"
"Aloha","","Nate Schneller Incorporated","Nate Schneller Incorporated","1949","1","EM","American Places - Beach - Happiness - Hawaii - Swimming - Water - Women","2871"
"Aloha","","Advertising Posters Company","Advertising Posters Company","","","","Hawaii","5100"
"Aloha","","Williams Manufacturing Company","Williams","","1","EM","American Places - Hawaii","5957"
"Aloha","","","Unknown","2015","1","EM","American Places - Hawaii","6314"
"Alpha 2001","","Costruzioni Elettroniche Automatiche","Costruzioni Elettroniche Automatiche","1977","1","SS","Space Fantasy","3688"
"Alpine Club","","Williams Electronic Manufacturing Company","Williams","1965","1","EM","Sports - Snow Skiing - Vacationing","63"
"Always Seven","","Etablissement Marchant, S.A.","Etablissement Marchant, S.A.","1950","","EM","","4463"
"Amazon Hunt","","D. Gottlieb & Company, a Columbia Pictures Industries Company","Gottlieb","1983","4","SS","","66"
"Amazon Hunt","","Naujoks-Schulze-Menke","Naujoks-Schulze-Menke","1985","4","SS","","5691"
"Amazon Hunt II","","Premier Technology","Premier","1987","4","SS","","3975"
"Amazon Hunt III","","Premier Technology","Premier","1991","4","SS","","4432"
"Ambassador","","Bally Manufacturing Corporation","Bally","1936","1","EM","","4180"
"Ambassador (Standard)","Ambassador","Stoner Manufacturing Company","Stoner Manufacturing Company","1933","1","ME","","67"
"Ambassador De Luxe Jr.","","Stoner Manufacturing Company","Stoner Manufacturing Company","1933","1","ME","","5820"
"Ambassador De Luxe Sr.","","Stoner Manufacturing Company","Stoner Manufacturing Company","1933","1","ME","","5821"
"Amber","","Williams Manufacturing Company","Williams","1947","1","EM","Girls - Women","68"
"America 1492","","Juegos Populares, S.A.","Juegos Populares, S.A.","1986","4","SS","Historical","5013"
"America's Most Haunted","","Spooky Pinball LLC","Spooky Pinball LLC","2014","4","SS","Ghost Hunting - Supernatural","6161"
"American Beauty","","Westerhaus Amusement Company","Westerhaus Amusement Company","1945","1","EM","","5451"
"American Beauty","","","","1945","1","EM","","2872"
"American Beauty","","Daval Mfg Company Incorporated, G.B.","Daval Mfg Company Incorporated, G.B.","1934","1","ME","","2873"
"American Beauty","","Gee Bee Manufacturing Company","Gee Bee Manufacturing Company","1934","1","ME","","3640"
"American Keen Ball Game","","The W. C. Peters Company","The W. C. Peters Company","","1","ME","","4821"
"American League","","Bally Manufacturing Corporation","Bally","1939","1","EM","Sports - Baseball","5001"
"Amigo","","Bally Manufacturing Corporation","Bally","1974","4","EM","Dancing - Happiness - Music - Singing - Mexican Culture","71"
"Amuzu","","Caldwell Novelty Co.","Caldwell Novelty Co.","1932","1","ME","","6237"
"Ana Bond","","Talleres del Llobregat S.A. [Automaticos]","Talleres del Llobregat S.A. [Automaticos]","1966","1","EM","Adventure - Fantasy","4610"
"Anabel","","Stoner Manufacturing Company","Stoner Manufacturing Company","1940","1","EM","","72"
"Anchors Aweigh","","Shyvers Coin Automatic Machine Company","Shyvers Coin Automatic Machine Company","1934","1","ME","Military - Nautical - Naval- Navy","4727"
"Andromeda","","Sigma","Sigma","","1","","Space Fantasy","5531"
"Andromeda","","Game Plan, Incorporated","Game Plan","1985","4","SS","Fantasy - Women","73"
"Angels","","Dama S.R.L.","Dama S.R.L.","1970","1","EM","Motorcycles","4396"
"Angle Lite","","Coincraft Corporation","Coincraft Corporation","1935","1","EM","","74"
"Animated","","Stoner Manufacturing Company","Stoner Manufacturing Company","1940","1","EM","","821"
"Antar","","Playmatic","Playmatic","1979","4","SS","Dragons - Fantasy","3646"
"Antares","","Nordamatic","Nordamatic","1979","4","SS","","3689"
"Anti-Aircraft","","Glickman Industries","Glickman Industries","1944","1","EM","","3856"
"Apache","","Playmatic","Playmatic","1975","1","EM","","4483"
"Apache!","","Taito do Brasil, a division of Taito, Japan","Taito do Brasil, a division of Taito, Japan","","4","SS","Native Americans - Warriors","4660"
"Apero Ball","","Comet","Comet","","1","EM","","6114"
"Apocalypse Now","","Jeutel","Jeutel","1985","4","SS","","3932"
"Apollo","","Williams Electronics, Incorporated","Williams","1967","1","EM","Space Exploration","77"
"Apollo 13","","Sega Pinball, Incorporated","Sega","1995","6","SS","Disaster - Space","3592"
"Apollo Ball","","Bally Manufacturing Corporation","Bally","","1","EM","","3648"
"Apollo Moon Shot Rifle","","Chicago Coin Machine Manufacturing Company","Chicago Coin","1968","1","EM","Fantasy - Outer Space - Science Fiction","6487"
"Apollo-9","","Talleres del Llobregat S.A. [Automaticos]","Talleres del Llobregat S.A. [Automaticos]","1969","1","EM","Space Exploration","5304"
"Apolo 2001","","Manufacturas Automaticas Americanas","Manufacturas Automaticas Americanas","1969","1","EM","Space Exploration","5756"
"Aqua Gun","","Williams Electronics, Incorporated","Williams","1968","1","EM","Sports - Water Sports - Spear Fishing - Diving","6340"
"Aquacade","","United Manufacturing Company","United Manufacturing Company","1949","1","EM","Aquatic Fun - Happiness","78"
"Aqualand","","Juegos Populares, S.A.","Juegos Populares, S.A.","1986","4","SS","Amusement Park - Water","3935"
"Aquarius","","D. Gottlieb & Company","Gottlieb","1970","1","EM","Astrology","79"
"Aquarius","","Procedimientos Electromagnéticos de Tanteo y Color","Procedimientos Electromagnéticos de Tanteo y Color","","1","EM","Astrology","6015"
"Arabian Knights","","D. Gottlieb & Company","Gottlieb","1953","1","EM","Foreign Peoples","80"
"Arabian Night","","Sega Enterprises, Ltd.","Sega","1976","2","EM","","4908"
"Arabic Power","","","","","1","EM","World Places","5636"
"Arc En Ciel","","Scott, Adickes & Cie","Scott, Adickes & Cie","1933","1","ME","","5259"
"Arc En Ciel Bebe","","Scott, Adickes & Cie","Scott, Adickes & Cie","1933","1","ME","","5258"
"Arcade","","Williams Manufacturing Company","Williams","1951","1","EM","Carnival","81"
"Archer","","A.B.T. Manufacturing Company","A.B.T. Manufacturing Company","1936","1","EM","","4314"
"Archer","","Genco Manufacturing Company","Genco Manufacturing Company","1937","1","EM","Sports - Archery","4526"
